year,month,inflation
1956,10,0.0223048327137547
1956,11,0.0223048327137547
1956,12,0.029850746268656744
1957,1,0.029850746268656744
1957,2,0.03358208955223875
1957,3,0.03731343283582089
1957,4,0.03717472118959108
1957,5,0.037037037037037035
1957,6,0.033088235294117724
1957,7,0.03284671532846723
1957,8,0.03663003663003663
1957,9,0.03284671532846723
1957,10,0.029090909090909115
1957,11,0.032727272727272674
1957,12,0.028985507246376708
1958,1,0.036231884057971016
1958,2,0.03249097472924196
1958,3,0.03597122302158273
1958,4,0.03584229390681004
1958,5,0.03214285714285709
1958,6,0.028469750889679613
1958,7,0.02473498233215545
1958,8,0.021201413427561763
1958,9,0.021201413427561763
1958,10,0.021201413427561763
1958,11,0.021126760563380333
1958,12,0.017605633802816902
1959,1,0.013986013986013936
1959,2,0.01048951048951039
1959,3,0.0034722222222221483
1959,4,0.003460207612456797
1959,5,0.003460207612456797
1959,6,0.006920415224913594
1959,7,0.006896551724137907
1959,8,0.010380622837370268
1959,9,0.013840830449827065
1959,10,0.01730103806228374
1959,11,0.013793103448275813
1959,12,0.01730103806228374
1960,1,0.01034482758620692
1960,2,0.01730103806228374
1960,3,0.01730103806228374
1960,4,0.017241379310344827
1960,5,0.017241379310344827
1960,6,0.017182130584192438
1960,7,0.013698630136986375
1960,8,0.013698630136986375
1960,9,0.010238907849829375
1960,10,0.01360544217687082
1960,11,0.01360544217687082
1960,12,0.01360544217687082
1961,1,0.017064846416382253
1961,2,0.01360544217687082
1961,3,0.01360544217687082
1961,4,0.010169491525423752
1961,5,0.010169491525423752
1961,6,0.006756756756756733
1961,7,0.013513513513513466
1961,8,0.010135135135135039
1961,9,0.013513513513513466
1961,10,0.00671140939597313
1961,11,0.00671140939597313
1961,12,0.00671140939597313
1962,1,0.00671140939597313
1962,2,0.010067114093959755
1962,3,0.010067114093959755
1962,4,0.01342281879194626
1962,5,0.01342281879194626
1962,6,0.01342281879194626
1962,7,0.010000000000000024
1962,8,0.013377926421404755
1962,9,0.013333333333333286
1962,10,0.013333333333333286
1962,11,0.013333333333333286
1962,12,0.013333333333333286
1963,1,0.013333333333333286
1963,2,0.00996677740863778
1963,3,0.01328903654485045
1963,4,0.009933774834437109
1963,5,0.009933774834437109
1963,6,0.013245033112582853
1963,7,0.013201320132013155
1963,8,0.013201320132013155
1963,9,0.009868421052631603
1963,10,0.013157894736842176
1963,11,0.013157894736842176
1963,12,0.01644736842105263
1964,1,0.01644736842105263
1964,2,0.01644736842105263
1964,3,0.013114754098360609
1964,4,0.013114754098360609
1964,5,0.013114754098360609
1964,6,0.013071895424836555
1964,7,0.013029315960912122
1964,8,0.009771986970684063
1964,9,0.013029315960912122
1964,10,0.009740259740259763
1964,11,0.012987012987012941
1964,12,0.009708737864077693
1965,1,0.009708737864077693
1965,2,0.009708737864077693
1965,3,0.012944983818770297
1965,4,0.016181229773462785
1965,5,0.016181229773462785
1965,6,0.019354838709677465
1965,7,0.01607717041800643
1965,8,0.019354838709677465
1965,9,0.01607717041800643
1965,10,0.01929260450160765
1965,11,0.016025641025641028
1965,12,0.019230769230769277
1966,1,0.019230769230769277
1966,2,0.025641025641025664
1966,3,0.025559105431309927
1966,4,0.02866242038216556
1966,5,0.02866242038216556
1966,6,0.02531645569620244
1966,7,0.028481012658227802
1966,8,0.03481012658227853
1966,9,0.03481012658227853
1966,10,0.03785488958990534
1966,11,0.03785488958990534
1966,12,0.03459119496855339
1967,1,0.03459119496855339
1967,2,0.028124999999999956
1967,3,0.028037383177570048
1967,4,0.024767801857585273
1967,5,0.02786377708978346
1967,6,0.027777777777777735
1967,7,0.027692307692307648
1967,8,0.024464831804281256
1967,9,0.027522935779816467
1967,10,0.024316109422492533
1967,11,0.02735562310030391
1967,12,0.030395136778115502
1968,1,0.03647416413373869
1968,2,0.03951367781155028
1968,3,0.03939393939393931
1968,4,0.03927492447129901
1968,5,0.03915662650602401
1968,6,0.04204204204204222
1968,7,0.04491017964071856
1968,8,0.04477611940298507
1968,9,0.044642857142857144
1968,10,0.04747774480712149
1968,11,0.04733727810650892
1968,12,0.04719764011799414
1969,1,0.0439882697947214
1969,2,0.04678362573099398
1969,3,0.0524781341107873
1969,4,0.05523255813953484
1969,5,0.0550724637681159
1969,6,0.05475504322766566
1969,7,0.054441260744985634
1969,8,0.05714285714285714
1969,9,0.05698005698005698
1969,10,0.056657223796034
1969,11,0.05932203389830513
1969,12,0.06197183098591557
1970,1,0.061797752808988644
1970,2,0.06145251396648053
1970,3,0.058171745152354605
1970,4,0.06060606060606069
1970,5,0.06043956043956052
1970,6,0.06010928961748622
1970,7,0.05978260869565226
1970,8,0.05405405405405406
1970,9,0.056603773584905696
1970,10,0.05630026809651479
1970,11,0.056000000000000036
1970,12,0.05570291777188313
1971,1,0.052910052910052914
1971,2,0.04999999999999996
1971,3,0.047120418848167464
1971,4,0.04155844155844159
1971,5,0.04404145077720196
1971,6,0.0463917525773197
1971,7,0.043589743589743664
1971,8,0.04615384615384608
1971,9,0.040816326530612096
1971,10,0.03807106598984772
1971,11,0.032828282828282755
1971,12,0.03266331658291468
1972,1,0.03266331658291468
1972,2,0.03508771929824558
1972,3,0.03499999999999996
1972,4,0.03491271820448874
1972,5,0.03225806451612914
1972,6,0.027093596059113333
1972,7,0.029484029484029377
1972,8,0.029411764705882425
1972,9,0.031862745098039325
1972,10,0.03422982885085571
1972,11,0.03667481662591687
1972,12,0.03406326034063257
1973,1,0.0364963503649635
1973,2,0.03874092009685234
1973,3,0.04589371980676325
1973,4,0.05060240963855425
1973,5,0.05528846153846147
1973,6,0.05995203836930455
1973,7,0.05727923627684961
1973,8,0.07380952380952384
1973,9,0.07363420427553448
1973,10,0.07801418439716323
1973,11,0.08254716981132076
